ID,Name,Age,Gender,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level,School_Grade
1,Shannon Francis,13,Female,4.0,6.1,78.0,5,0.1,10,3,8,0,1.4,86,19,3.6,1.7,1.2,Browsing,4,8.7,10.0,
2,Scott Rodriguez,17,Female,5.5,6.5,70.0,5,0.0,3,7,3,0,0.9,96,9,1.1,4.0,1.8,Browsing,2,5.3,10.0,
3,Adrian Knox,13,Other,5.8,5.5,93.0,8,0.8,2,3,10,0,0.5,137,8,0.3,1.5,0.4,Education,6,5.7,9.2,
4,Brittany Hamilton,18,Female,3.1,3.9,78.0,8,1.6,9,10,3,0,1.4,128,7,3.1,1.6,0.8,Social Media,8,3.0,9.8,
5,Steven Smith,14,Other,2.5,6.7,56.0,4,1.1,1,5,1,0,1.0,96,20,2.6,0.9,1.1,Gaming,10,3.7,8.6,
6,Mary Adams,13,Female,3.9,6.3,89.0,3,0.7,7,1,3,0,1.1,135,8,3.8,0.0,1.4,Social Media,7,6.0,8.8,
7,Hailey Moses,16,Male,6.3,6.7,89.0,3,0.9,6,7,9,0,0.8,129,9,1.8,2.7,1.0,Education,7,7.8,10.0,
8,Veronica Marshall,13,Other,5.1,6.1,70.0,2,2.2,5,6,8,0,1.0,34,7,2.3,1.6,0.5,Browsing,9,8.0,8.0,
9,Edward Avila,13,Male,3.0,9.1,79.0,0,1.8,1,7,6,0,0.9,70,13,2.7,2.2,1.3,Education,10,9.1,7.3,
10,James Carter,18,Other,3.9,5.8,89.0,8,1.1,9,1,9,0,0.9,121,13,2.7,0.4,1.0,Other,9,2.9,9.1,
11,Bobby Sparks,18,Female,4.9,7.0,74.0,5,0.6,4,3,2,0,0.6,84,20,3.1,0.6,0.8,Other,6,3.5,10.0,
